procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 848415680      8 72790856    0    0     0    60 22499 96342  4  0 96  0  0
 2  0      0 848421184      8 72790856    0    0     0    52 22085 91879  3  0 96  0  0
 7  0      0 848421504      8 72790864    0    0     0    53 22180 91797  3  0 96  0  0
 2  0      0 848420352      8 72790864    0    0     0    57 22408 93200  3  0 96  0  0
13  0      0 848416640      8 72790864    0    0     0    52 22521 94446  4  0 96  0  0
 5  0      0 848415424      8 72790864    0    0     0    55 22151 90624  3  0 96  0  0
 3  0      0 848412224      8 72790880    0    0     0     0 23063 95530  4  0 96  0  0
 2  0      0 848413568      8 72790880    0    0     0    66 22028 96708  3  0 96  0  0
 7  0      0 848402112      8 72790880    0    0     0    56 22088 119402  3  0 96  0  0
 2  0      0 848402688      8 72790880    0    0     0    52 22547 92573  3  0 96  0  0
 2  0      0 848400000      8 72790880    0    0     0    52 21905 91529  3  0 96  0  0
13  0      0 848399104      8 72790880    0    0     0    52 22025 93106  3  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 848398144      8 72790880    0    0     0    53 22554 95307  3  0 96  0  0
16  0      0 848399616      8 72790880    0    0     0    82 21885 87983  3  0 96  0  0
 3  0      0 848398720      8 72790880    0    0     0    54 22435 93023  3  0 96  0  0
 8  0      0 848397376      8 72790880    0    0     0    57 22555 92619  3  0 96  0  0
